品种代码,合约类型,年化夏普比率,年化收益率,波动率,最大回撤率,卡玛比率,持有天数,分位数计算回望窗口,分位数参数组合,均线参数组合,均线,分位数
PP,平值期权,0.6283037341063132,0.0715201399261866,0.113830518654987,0.0897988163928031,0.7964485813859633,inf,20,"(0.5, 0.5)","(2, 10)",True,True
RB,虚值一档,5.179733833353255,0.1347769739315508,0.026020057838435,0.0003490207830114,386.1574453207357,inf,20,"(0.5, 0.5)","(2, 10)",True,True
RB,平值期权,5.577298077707975,0.1545147986609881,0.0277042389537277,0.0004616311813914,334.71482189582457,inf,20,"(0.5, 0.5)","(2, 10)",True,True
RU,虚值一档,0.7087103667029647,0.0683501995759006,0.0964430644550563,0.1230818784097549,0.5553230130950253,inf,20,"(0.5, 0.5)","(2, 10)",True,True
RU,平值期权,0.6756425931286998,0.0668158550354142,0.0988923074343343,0.1210315493892674,0.5520532073874221,inf,20,"(0.5, 0.5)","(2, 10)",True,True
SC,虚值一档,2.7847256407532424,0.4015271165446963,0.1441891117273897,0.0626677334722807,6.407238530850974,inf,20,"(0.5, 0.5)","(2, 10)",True,True
SC,平值期权,2.702260950280585,0.449687112509184,0.1664114313099522,0.0659390007896335,6.819744113864106,inf,20,"(0.5, 0.5)","(2, 10)",True,True
V,虚值一档,0.7335865564497278,0.1105486368393713,0.1506961051390902,0.256020513614495,0.4317960122751368,inf,20,"(0.5, 0.5)","(2, 10)",True,True
V,平值期权,0.7942794850042317,0.1234930703641477,0.1554781065049033,0.2546464987056788,0.4849588389859676,inf,20,"(0.5, 0.5)","(2, 10)",True,True
Y,虚值一档,1.632722300113196,0.132771080035297,0.0813188378857152,0.0238422919884784,5.568721333479916,inf,20,"(0.5, 0.5)","(2, 10)",True,True
Y,平值期权,1.355969209028552,0.1249999042250393,0.0921849134867835,0.0271384290632844,4.606011052944534,inf,20,"(0.5, 0.5)","(2, 10)",True,True
ZN,虚值一档,-0.2741901370593875,-0.0348325215511501,0.1270378355863532,0.1829497525821419,-0.1903939254332186,inf,20,"(0.5, 0.5)","(2, 10)",True,True
ZN,平值期权,-0.2131698092576252,-0.0313736262285094,0.1471766866882777,0.1861953134054708,-0.1684984742885994,inf,20,"(0.5, 0.5)","(2, 10)",True,True
A,虚值一档,0.6917785098324596,0.0400298368835697,0.0578651061208369,0.023668099006019,1.6912991986973545,inf,20,"(0.5, 0.5)","(2, 5)",True,True
A,平值期权,0.7495313912915881,0.0522507129354281,0.0697111735979329,0.0240483352499618,2.172737214128407,inf,20,"(0.5, 0.5)","(2, 5)",True,True
AG,虚值一档,,0.0,0.0,0.0,,inf,20,"(0.5, 0.5)","(2, 5)",True,True
AG,平值期权,,0.0,0.0,0.0,,inf,20,"(0.5, 0.5)","(2, 5)",True,True
AL,虚值一档,-0.5857402784014164,-0.0796340502356409,0.1359545402152906,0.3072369604443205,-0.2591942392623452,inf,20,"(0.5, 0.5)","(2, 5)",True,True
AL,平值期权,-0.5475121348073227,-0.0724471656054191,0.1323206573876472,0.3149543415615757,-0.2300243433578932,inf,20,"(0.5, 0.5)","(2, 5)",True,True
AU,虚值一档,1.1459413275420685,0.0669740332235243,0.058444556988949,0.0672650443980332,0.9956736641280296,inf,20,"(0.5, 0.5)","(2, 5)",True,True
AU,平值期权,1.198516545395425,0.0753982010104135,0.0629096037931937,0.0742188262999452,1.0158905060786323,inf,20,"(0.5, 0.5)","(2, 5)",True,True
B,虚值一档,-0.7306723265289797,-0.0747711185336654,0.1023319425396356,0.037135159445705,-2.0134858621783387,inf,20,"(0.5, 0.5)","(2, 5)",True,True
B,平值期权,-0.5266942067943927,-0.0535155474985746,0.1016064859043829,0.0372113927166379,-1.438149544847504,inf,20,"(0.5, 0.5)","(2, 5)",True,True
C,虚值一档,-0.3539079245144417,-0.021901268016755,0.0618840848133123,0.1082544344459757,-0.202312894883626,inf,20,"(0.5, 0.5)","(2, 5)",True,True
C,平值期权,-0.4427437283699829,-0.0281480923546549,0.0635764903057705,0.1258325308779003,-0.2236948757072048,inf,20,"(0.5, 0.5)","(2, 5)",True,True
CU,虚值一档,-0.1165113105966234,-0.0139019409704724,0.1193183811879236,0.1746335829841239,-0.079606343367165,inf,20,"(0.5, 0.5)","(2, 5)",True,True
CU,平值期权,-0.1389727216029079,-0.0177604848226105,0.1277983522072643,0.1947460686647856,-0.0911981686941339,inf,20,"(0.5, 0.5)","(2, 5)",True,True
I,虚值一档,2.3066999854572274,0.3951647753265377,0.1713117344335567,0.0795414745587043,4.968034318183185,inf,20,"(0.5, 0.5)","(2, 5)",True,True
I,平值期权,2.547342306229534,0.4088816508200579,0.1605130373802282,0.0573333112641849,7.131659445518171,inf,20,"(0.5, 0.5)","(2, 5)",True,True
L,虚值一档,1.1068209357770054,0.0955683156931416,0.0863448753126911,0.061966225066148,1.542264606099918,inf,20,"(0.5, 0.5)","(2, 5)",True,True
L,平值期权,0.8944941062224921,0.0805871244779062,0.0900924040944562,0.0729773560520464,1.1042757484997474,inf,20,"(0.5, 0.5)","(2, 5)",True,True
