品种代码,合约类型,年化夏普比率,年化收益率,波动率,最大回撤率,卡玛比率,持有天数,分位数计算回望窗口,分位数参数组合,均线参数组合,均线,分位数
CU,平值期权,-0.1964062240058686,-0.0202916425976066,0.1033146617441222,0.1073721727450537,-0.1889841853697739,inf,20,"(0.5, 0.5)","(2, 5)",False,True
I,虚值一档,-0.123973103435574,-0.0283828934341957,0.2289439616145903,0.276034209902355,-0.102823825511468,inf,20,"(0.5, 0.5)","(2, 5)",False,True
I,平值期权,-0.1691927804036255,-0.0406935612662643,0.2405159438197422,0.3182013818416287,-0.1278861865110249,inf,20,"(0.5, 0.5)","(2, 5)",False,True
L,虚值一档,-0.8552258874400303,-0.0899778555691946,0.1052094620738477,0.2044328479811133,-0.4401340413626056,inf,20,"(0.5, 0.5)","(2, 5)",False,True
L,平值期权,-0.7295106869421483,-0.088827425272359,0.1217630212446816,0.1982937334884007,-0.4479588119589017,inf,20,"(0.5, 0.5)","(2, 5)",False,True
M,虚值一档,0.2438059085736576,0.0202662940366028,0.0831247042172485,0.1059881221394808,0.1912128795897742,inf,20,"(0.5, 0.5)","(2, 5)",False,True
M,平值期权,0.1174678031439662,0.0124878742408279,0.1063089110939028,0.1619373400910921,0.0771154709210572,inf,20,"(0.5, 0.5)","(2, 5)",False,True
P,虚值一档,-0.3476803881907589,-0.0515436450853671,0.1482500791994259,0.1860003730327651,-0.277115815656388,inf,20,"(0.5, 0.5)","(2, 5)",False,True
P,平值期权,-0.5248366290077008,-0.0859735110800124,0.1638100435988262,0.2288073011735322,-0.3757463622841665,inf,20,"(0.5, 0.5)","(2, 5)",False,True
PG,虚值一档,-0.3141906853523982,-0.0621147541011486,0.1976976307603783,0.1838355935973108,-0.3378820873895078,inf,20,"(0.5, 0.5)","(2, 5)",False,True
PG,平值期权,0.0567354438417661,0.0105334916486507,0.1856598086731893,0.1689998127139572,0.0623284220230431,inf,20,"(0.5, 0.5)","(2, 5)",False,True
PP,虚值一档,0.4961150532071065,0.0488151416722171,0.0983948004735082,0.1495165518073727,0.3264865399993129,inf,20,"(0.5, 0.5)","(2, 5)",False,True
PP,平值期权,0.6247445826845344,0.068033017071426,0.1088973301362413,0.1395362289115823,0.4875652552896169,inf,20,"(0.5, 0.5)","(2, 5)",False,True
RB,虚值一档,-3.23356248233878,-0.1562409235189073,0.0483185107361528,0.02573379916782,-6.071428571428571,inf,20,"(0.5, 0.5)","(2, 5)",False,True
RB,平值期权,-3.634001973089939,-0.1876387042827333,0.0516341778766803,0.0309051983524502,-6.071428571428572,inf,20,"(0.5, 0.5)","(2, 5)",False,True
RU,虚值一档,0.3770698602892619,0.0367111166320931,0.0973589260195204,0.0814211176805262,0.4508795467060194,inf,20,"(0.5, 0.5)","(2, 5)",False,True
RU,平值期权,0.4708102360229463,0.0530326952336258,0.1126413386454945,0.0927096894848045,0.5720296932104185,inf,20,"(0.5, 0.5)","(2, 5)",False,True
SC,虚值一档,0.3062303001970016,0.0546069059285358,0.1783197348316171,0.1899235539331666,0.287520451242987,inf,20,"(0.5, 0.5)","(2, 5)",False,True
SC,平值期权,0.1163254422152684,0.0233920142974831,0.2010911272032357,0.2388274813329051,0.0979452371516522,inf,20,"(0.5, 0.5)","(2, 5)",False,True
V,虚值一档,-1.0379446120134783,-0.1525448148395884,0.1469681648461677,0.3461824120235867,-0.4406486567237708,inf,20,"(0.5, 0.5)","(2, 5)",False,True
V,平值期权,-0.9328588673330672,-0.1587229398333272,0.1701467878920391,0.3441066986638023,-0.4612608253476696,inf,20,"(0.5, 0.5)","(2, 5)",False,True
Y,虚值一档,2.385384805066837,0.165662361428595,0.0694489044604915,0.0234314953870898,7.070072084254191,inf,20,"(0.5, 0.5)","(2, 5)",False,True
Y,平值期权,2.0980633852538206,0.169455816050135,0.0807677295362716,0.0259347429223125,6.533930818506253,inf,20,"(0.5, 0.5)","(2, 5)",False,True
ZN,虚值一档,2.121115140121977,0.1880224878931912,0.0886432256017835,0.0826993074030617,2.2735678664973933,inf,20,"(0.5, 0.5)","(2, 5)",False,True
