品种代码,合约类型,持仓周期,VIX平滑窗口,VIX分位数参数组合,VIX状态检视周期,标的均线参数组合,年化夏普比率,年化收益率,波动率,最大回撤率,卡玛比率,strategy
B,虚值一档,inf,20,"(0.75, 0.55)",10,"(5, 10)",-1.084720759,-0.087369653,0.080545755,0.03226066,-2.708241364,merge
B,平值期权,inf,20,"(0.75, 0.55)",10,"(5, 10)",-0.730681876,-0.066771516,0.091382472,0.031380588,-2.127796831,merge
B,虚值一档,inf,20,"(0.65, 0.35)",10,"(5, 20)",-0.174206978,-0.014375462,0.082519439,0.038495868,-0.373428701,merge
B,平值期权,inf,20,"(0.65, 0.35)",10,"(5, 20)",-0.018145971,-0.001696258,0.093478474,0.038943871,-0.043556473,merge
B,虚值一档,inf,20,"(0.75, 0.55)",10,"(5, 20)",-0.174206978,-0.014375462,0.082519439,0.038495868,-0.373428701,merge
B,平值期权,inf,20,"(0.75, 0.55)",10,"(5, 20)",-0.018145971,-0.001696258,0.093478474,0.038943871,-0.043556473,merge
AU,虚值一档,inf,20,"(0.8, 0.3)",10,"(10, 15)",0.633172289,0.041284305,0.065202324,0.060469892,0.682724966,merge
AU,平值期权,inf,20,"(0.8, 0.3)",10,"(10, 15)",0.651844184,0.048179684,0.073912884,0.061694489,0.780939822,merge
AU,虚值一档,inf,20,"(0.8, 0.3)",10,"(10, 20)",0.564739107,0.038823607,0.068746093,0.062323774,0.622934143,merge
AU,平值期权,inf,20,"(0.8, 0.3)",10,"(10, 20)",0.656991852,0.046264107,0.070418084,0.064409313,0.718282888,merge
AU,虚值一档,inf,20,"(0.75, 0.25)",10,"(5, 20)",0.540057328,0.035455543,0.065651443,0.052905557,0.670166709,merge
AU,平值期权,inf,20,"(0.75, 0.25)",10,"(5, 20)",0.568478563,0.040793619,0.071759291,0.052611053,0.775381146,merge
AU,虚值一档,inf,20,"(0.8, 0.3)",10,"(5, 20)",0.579878747,0.036925755,0.063678408,0.052692874,0.700773227,merge
AU,平值期权,inf,20,"(0.8, 0.3)",10,"(5, 20)",0.590476327,0.04146082,0.070215889,0.052474994,0.790106244,merge
AL,虚值一档,inf,20,"(0.85, 0.35)",10,"(10, 15)",1.658366879,0.213586364,0.128793192,0.057043563,3.744267567,merge
AL,平值期权,inf,20,"(0.85, 0.35)",10,"(10, 15)",1.362012256,0.2275562,0.167073534,0.065710009,3.463037105,merge
AL,虚值一档,inf,20,"(0.85, 0.35)",10,"(10, 20)",0.628346769,0.086281094,0.137314455,0.142263544,0.606487732,merge
AL,平值期权,inf,20,"(0.85, 0.35)",10,"(10, 20)",0.455833415,0.078828808,0.172933369,0.167081097,0.471799679,merge
AL,虚值一档,inf,20,"(0.85, 0.35)",10,"(5, 15)",0.843480208,0.111872653,0.132632221,0.135387023,0.826317402,merge
AL,平值期权,inf,20,"(0.85, 0.35)",10,"(5, 15)",0.680126751,0.114867844,0.168891818,0.158569784,0.724399322,merge
AG,虚值一档,inf,20,"(0.65, 0.35)",10,"(5, 10)",2.527790554,0.132229273,0.052310217,0.011314946,11.68624835,merge
AG,平值期权,inf,20,"(0.65, 0.35)",10,"(5, 10)",2.584605043,0.15883189,0.06145306,0.012939925,12.27456001,merge
AG,虚值一档,inf,20,"(0.75, 0.55)",10,"(5, 10)",2.527790554,0.132229273,0.052310217,0.011314946,11.68624835,merge
AG,平值期权,inf,20,"(0.75, 0.55)",10,"(5, 10)",2.584605043,0.15883189,0.06145306,0.012939925,12.27456001,merge
A,虚值一档,inf,20,"(0.65, 0.35)",10,"(5, 10)",-0.736787466,-0.032156559,0.04364428,0.030761538,-1.045349514,merge
A,平值期权,inf,20,"(0.65, 0.35)",10,"(5, 10)",-0.897317424,-0.058224367,0.064887147,0.045783525,-1.271731853,merge
A,虚值一档,inf,20,"(0.75, 0.55)",10,"(5, 10)",2.027543952,0.08235355,0.040617393,0.017686726,4.656234796,merge
A,平值期权,inf,20,"(0.75, 0.55)",10,"(5, 10)",1.58941269,0.094962117,0.059746671,0.020965318,4.529486139,merge
A,虚值一档,inf,20,"(0.65, 0.35)",10,"(5, 20)",2.541701632,0.108162888,0.042555305,0.011297352,9.574180882,merge
A,平值期权,inf,20,"(0.65, 0.35)",10,"(5, 20)",3.093657907,0.178115461,0.057574388,0.013108546,13.58773584,merge
A,虚值一档,inf,20,"(0.75, 0.55)",10,"(5, 20)",1.908180435,0.081261979,0.042586109,0.011430244,7.109383003,merge
A,平值期权,inf,20,"(0.75, 0.55)",10,"(5, 20)",2.418515005,0.142300313,0.058837887,0.014230184,9.999892706,merge
