品种代码,合约类型,年化夏普比率,年化收益率,波动率,最大回撤率,卡玛比率,分位数回望窗口,波动率移动均线回望窗口,分位数分位点参数,波动率阈值计算方式,use_vix,use_vix_call_and_vix_put
V,平值期权,-0.193306289,-0.028995374,0.149997056,0.231032894,-0.125503229,20,5,0.6,分位数_rolling,TRUE,FALSE
V,虚值一档,0.44167343,0.039319431,0.089023764,0.073766616,0.533024736,20,5,0.6,分位数_whole,TRUE,FALSE
V,平值期权,0.776064941,0.06582299,0.084816343,0.072303789,0.910367092,20,5,0.6,分位数_whole,TRUE,FALSE
SC,虚值一档,0.255667898,0.038379668,0.150115319,0.155485709,0.24683727,20,5,0.6,分位数_rolling,FALSE,TRUE
SC,平值期权,0.095924254,0.016455409,0.171545859,0.182294896,0.090268071,20,5,0.6,分位数_rolling,FALSE,TRUE
SC,虚值一档,0.913090289,0.130301624,0.142703987,0.086379843,1.508472579,20,5,0.6,分位数_whole,FALSE,TRUE
SC,平值期权,0.620098631,0.09758901,0.157376594,0.104543731,0.933475487,20,5,0.6,分位数_whole,FALSE,TRUE
SC,虚值一档,0.006561835,0.000696608,0.106160612,0.126580296,0.005503292,20,5,0.6,分位数_rolling,TRUE,FALSE
SC,平值期权,0.194245666,0.021826874,0.112367368,0.137081758,0.159225229,20,5,0.6,分位数_rolling,TRUE,FALSE
SC,虚值一档,1.309000467,0.10401224,0.079459284,0.037545247,2.770317112,20,5,0.6,分位数_whole,TRUE,FALSE
SC,平值期权,1.358276889,0.121995997,0.089816736,0.038910833,3.135270784,20,5,0.6,分位数_whole,TRUE,FALSE
RU,虚值一档,-0.728399622,-0.057912846,0.079506969,0.156388788,-0.370313289,20,5,0.6,分位数_rolling,FALSE,TRUE
RU,平值期权,-0.61678789,-0.053345397,0.086489048,0.151306169,-0.352565911,20,5,0.6,分位数_rolling,FALSE,TRUE
RU,虚值一档,0.582859342,0.043727024,0.075021572,0.083984344,0.520656851,20,5,0.6,分位数_whole,FALSE,TRUE
RU,平值期权,0.538383483,0.041999344,0.078010089,0.107454592,0.390856667,20,5,0.6,分位数_whole,FALSE,TRUE
RU,虚值一档,-0.13094201,-0.007881302,0.060189255,0.095356175,-0.082651197,20,5,0.6,分位数_rolling,TRUE,FALSE
RU,平值期权,0.068171274,0.003738518,0.054840085,0.080098763,0.046673861,20,5,0.6,分位数_rolling,TRUE,FALSE
RU,虚值一档,1.34292339,0.082755064,0.061623071,0.053036927,1.560329158,20,5,0.6,分位数_whole,TRUE,FALSE
RU,平值期权,1.460128545,0.084868992,0.058124329,0.037968751,2.235232694,20,5,0.6,分位数_whole,TRUE,FALSE
RB,虚值一档,0.496673439,0.024793747,0.049919615,0.012881854,1.924703333,20,5,0.6,分位数_rolling,FALSE,TRUE
RB,平值期权,0.419001783,0.023086159,0.055097997,0.013699929,1.685129845,20,5,0.6,分位数_rolling,FALSE,TRUE
RB,虚值一档,4.153437757,0.173643342,0.041807137,0.007084858,24.50907781,20,5,0.6,分位数_whole,FALSE,TRUE
RB,平值期权,3.662036028,0.165865603,0.045293275,0.008275949,20.04188209,20,5,0.6,分位数_whole,FALSE,TRUE
RB,虚值一档,5.32756407,0.120563152,0.022630071,0.002868056,42.03653946,20,5,0.6,分位数_rolling,TRUE,FALSE
RB,平值期权,5.444475269,0.123262197,0.022639867,0.002266165,54.39241228,20,5,0.6,分位数_rolling,TRUE,FALSE
RB,虚值一档,3.016242218,0.07825709,0.025945227,0.009762084,8.016432576,20,5,0.6,分位数_whole,TRUE,FALSE
RB,平值期权,2.65925285,0.074964874,0.028190201,0.009201646,8.146897858,20,5,0.6,分位数_whole,TRUE,FALSE
PP,虚值一档,0.513982767,0.050576139,0.098400457,0.089452832,0.565394503,20,5,0.6,分位数_rolling,FALSE,TRUE
PP,平值期权,0.434851807,0.043668002,0.100420423,0.083819997,0.520973564,20,5,0.6,分位数_rolling,FALSE,TRUE
PP,虚值一档,0.513477987,0.055062432,0.10723426,0.108821086,0.505990465,20,5,0.6,分位数_whole,FALSE,TRUE
PP,平值期权,0.304692339,0.032877384,0.107903546,0.106473366,0.308785053,20,5,0.6,分位数_whole,FALSE,TRUE
PP,虚值一档,0.259762688,0.02409793,0.092769019,0.09082225,0.265330681,20,5,0.6,分位数_rolling,TRUE,FALSE
PP,平值期权,-0.025807112,-0.002473927,0.095862232,0.106712091,-0.023183197,20,5,0.6,分位数_rolling,TRUE,FALSE
PP,虚值一档,0.754183586,0.065745796,0.087174791,0.075959581,0.865536586,20,5,0.6,分位数_whole,TRUE,FALSE
PP,平值期权,0.762016969,0.067442006,0.088504598,0.05672466,1.188936269,20,5,0.6,分位数_whole,TRUE,FALSE
