品种代码,合约类型,年化夏普比率,年化收益率,波动率,最大回撤率,卡玛比率,布林带计算回望窗口,布林带标准倍数,持有天数,平值期权变动检视天数,波动率水平检视天数,signal_type,vix_position_control,均线参数组合,use_vix,use_vix_call_and_vix_put
CU,虚值一档,-0.03824116,-0.008036432,0.210151357,0.335234859,-0.023972542,20,1,inf,5,5,ma_signal,True,"(5, 20)",True,False
CU,平值期权,0.006638271,0.001366953,0.205920023,0.338581022,0.004037299,20,1,inf,5,5,ma_signal,True,"(5, 20)",True,False
I,虚值一档,-0.167948989,-0.043840504,0.261034638,0.351595331,-0.124690233,20,1,inf,5,5,ma_signal,True,"(5, 20)",True,False
I,平值期权,-0.267273021,-0.069679248,0.260704382,0.398944687,-0.174658919,20,1,inf,5,5,ma_signal,True,"(5, 20)",True,False
L,虚值一档,0.330737,0.059771628,0.180722531,0.255310833,0.234113167,20,1,inf,5,5,ma_signal,True,"(5, 20)",True,False
L,平值期权,0.561172111,0.103808967,0.18498597,0.238514412,0.435231423,20,1,inf,5,5,ma_signal,True,"(5, 20)",True,False
M,虚值一档,0.115761437,0.018119788,0.156526979,0.239641562,0.075612042,20,1,inf,5,5,ma_signal,True,"(5, 20)",True,False
M,平值期权,0.188556329,0.028631288,0.151844749,0.226104774,0.126628412,20,1,inf,5,5,ma_signal,True,"(5, 20)",True,False
P,虚值一档,-0.864661949,-0.185228254,0.214220429,0.444225752,-0.416968744,20,1,inf,5,5,ma_signal,True,"(5, 20)",True,False
P,平值期权,-0.552052015,-0.101744252,0.184301931,0.299728851,-0.339454317,20,1,inf,5,5,ma_signal,True,"(5, 20)",True,False
PG,虚值一档,0.341512578,0.112960914,0.330766483,0.24593553,0.459311082,20,1,inf,5,5,ma_signal,True,"(5, 20)",True,False
PG,平值期权,0.471046804,0.141328829,0.300031393,0.241270399,0.585769449,20,1,inf,5,5,ma_signal,True,"(5, 20)",True,False
PP,虚值一档,0.710609866,0.189475296,0.266637582,0.232745698,0.814087213,20,1,inf,5,5,ma_signal,True,"(5, 20)",True,False
PP,平值期权,0.821239939,0.226609119,0.275935336,0.209895704,1.079627236,20,1,inf,5,5,ma_signal,True,"(5, 20)",True,False
RB,虚值一档,5.675359997,0.199471185,0.035146878,0.007718489,25.84329595,20,1,inf,5,5,ma_signal,True,"(5, 20)",True,False
RB,平值期权,5.784557712,0.193609775,0.033470109,0.009007344,21.4946587,20,1,inf,5,5,ma_signal,True,"(5, 20)",True,False
RU,虚值一档,0.159304122,0.031153597,0.195560522,0.171964173,0.181163302,20,1,inf,5,5,ma_signal,True,"(5, 20)",True,False
RU,平值期权,0.301697008,0.060021675,0.198946868,0.150457353,0.398928159,20,1,inf,5,5,ma_signal,True,"(5, 20)",True,False
SC,虚值一档,0.410655934,0.103647829,0.25239579,0.15135346,0.68480647,20,1,inf,5,5,ma_signal,True,"(5, 20)",True,False
SC,平值期权,0.444445335,0.12532651,0.281984082,0.145106741,0.863684964,20,1,inf,5,5,ma_signal,True,"(5, 20)",True,False
V,虚值一档,-0.348189828,-0.061116527,0.175526457,0.319231155,-0.19144913,20,1,inf,5,5,ma_signal,True,"(5, 20)",True,False
V,平值期权,-0.40481458,-0.095118525,0.234968132,0.409494008,-0.23228307,20,1,inf,5,5,ma_signal,True,"(5, 20)",True,False
Y,虚值一档,3.667163132,0.302196772,0.082406144,0.024348471,12.41132448,20,1,inf,5,5,ma_signal,True,"(5, 20)",True,False
Y,平值期权,3.327069341,0.312923519,0.094053801,0.030318682,10.32114525,20,1,inf,5,5,ma_signal,True,"(5, 20)",True,False
ZN,虚值一档,0.645862851,0.103031694,0.159525655,0.145190274,0.709632204,20,1,inf,5,5,ma_signal,True,"(5, 20)",True,False
ZN,平值期权,0.539708891,0.092638332,0.171644999,0.173109257,0.535143721,20,1,inf,5,5,ma_signal,True,"(5, 20)",True,False
A,虚值一档,0.023794929,0.003024414,0.127103294,0.071200544,0.042477398,20,1,inf,5,5,ma_signal,True,"(5, 20)",True,False
A,平值期权,0.075203185,0.010040522,0.133511931,0.072304556,0.138864312,20,1,inf,5,5,ma_signal,True,"(5, 20)",True,False
AG,虚值一档,2.771835175,0.164690272,0.059415608,0.012989936,12.67829723,20,1,inf,5,5,ma_signal,True,"(5, 20)",True,False
AG,平值期权,2.762494582,0.209474536,0.075828035,0.016858414,12.42551849,20,1,inf,5,5,ma_signal,True,"(5, 20)",True,False
AL,虚值一档,-0.656985356,-0.13543859,0.206151612,0.540711173,-0.250482322,20,1,inf,5,5,ma_signal,True,"(5, 20)",True,False
AL,平值期权,-0.642354935,-0.140291255,0.218401459,0.583100027,-0.240595521,20,1,inf,5,5,ma_signal,True,"(5, 20)",True,False
AU,虚值一档,1.209054831,0.099457793,0.082260779,0.088904037,1.118709513,20,1,inf,5,5,ma_signal,True,"(5, 20)",True,False
AU,平值期权,1.32383224,0.107183522,0.080964581,0.086904691,1.23334564,20,1,inf,5,5,ma_signal,True,"(5, 20)",True,False
B,虚值一档,0.528651084,0.072915183,0.137926859,0.035821378,2.035521472,20,1,inf,5,5,ma_signal,True,"(5, 20)",True,False
B,平值期权,0.387001736,0.056693347,0.146493779,0.039601617,1.431591712,20,1,inf,5,5,ma_signal,True,"(5, 20)",True,False
C,虚值一档,-0.848790761,-0.1049225,0.123614093,0.313674616,-0.334494712,20,1,inf,5,5,ma_signal,True,"(5, 20)",True,False
C,平值期权,-0.717762838,-0.177841985,0.247772628,0.502686964,-0.353782767,20,1,inf,5,5,ma_signal,True,"(5, 20)",True,False
CU,虚值一档,0.459611991,0.088011401,0.191490654,0.227994303,0.386024561,20,1,inf,5,5,ma_signal,True,"(5, 20)",True,False
CU,平值期权,0.577325063,0.108602672,0.188113559,0.217585975,0.499125333,20,1,inf,5,5,ma_signal,True,"(5, 20)",True,False
I,虚值一档,0.013222428,0.004848601,0.366695194,0.465036324,0.010426284,20,1,inf,5,5,ma_signal,True,"(5, 20)",True,False
I,平值期权,0.169727298,0.064706786,0.381239711,0.337521127,0.191711809,20,1,inf,5,5,ma_signal,True,"(5, 20)",True,False
L,虚值一档,0.570743594,0.101071188,0.177086856,0.169682927,0.595647366,20,1,inf,5,5,ma_signal,True,"(5, 20)",True,False
L,平值期权,0.624995766,0.115781059,0.185250949,0.161078386,0.718787058,20,1,inf,5,5,ma_signal,True,"(5, 20)",True,False
M,虚值一档,-0.043988624,-0.008475063,0.192664891,0.324289312,-0.026134267,20,1,inf,5,5,ma_signal,True,"(5, 20)",True,False
M,平值期权,-0.027074571,-0.005889897,0.217543503,0.339241575,-0.017361955,20,1,inf,5,5,ma_signal,True,"(5, 20)",True,False
P,虚值一档,-0.956858187,-0.308979555,0.322910499,0.648059575,-0.476776467,20,1,inf,5,5,ma_signal,True,"(5, 20)",True,False
P,平值期权,-0.650592904,-0.19411652,0.29836864,0.524099754,-0.370380865,20,1,inf,5,5,ma_signal,True,"(5, 20)",True,False
PG,虚值一档,0.106957398,0.033471112,0.312938731,0.26833146,0.124737935,20,1,inf,5,5,ma_signal,True,"(5, 20)",True,False
PG,平值期权,0.036794977,0.011379994,0.309281179,0.293501603,0.038773191,20,1,inf,5,5,ma_signal,True,"(5, 20)",True,False
PP,虚值一档,1.264501143,0.347031771,0.274441643,0.131592516,2.637169518,20,1,inf,5,5,ma_signal,True,"(5, 20)",True,False
PP,平值期权,1.160247755,0.333347724,0.287307364,0.138685485,2.403623733,20,1,inf,5,5,ma_signal,True,"(5, 20)",True,False
RB,虚值一档,-1.463088779,-0.059577097,0.040720083,0.025885016,-2.301605533,20,1,inf,5,5,ma_signal,True,"(5, 20)",True,False
RB,平值期权,-1.360033731,-0.06325942,0.046513126,0.028321989,-2.233579698,20,1,inf,5,5,ma_signal,True,"(5, 20)",True,False
RU,虚值一档,0.41728274,0.077725084,0.186264795,0.166590045,0.466564998,20,1,inf,5,5,ma_signal,True,"(5, 20)",True,False
RU,平值期权,0.584274252,0.103169302,0.176576841,0.13394315,0.770246942,20,1,inf,5,5,ma_signal,True,"(5, 20)",True,False
SC,虚值一档,0.324259992,0.087435062,0.269644928,0.2722694,0.321134371,20,1,inf,5,5,ma_signal,True,"(5, 20)",True,False
SC,平值期权,0.585013869,0.162026895,0.276962486,0.258261816,0.627374569,20,1,inf,5,5,ma_signal,True,"(5, 20)",True,False
V,虚值一档,-0.011662822,-0.002957569,0.253589458,0.36352306,-0.008135849,20,1,inf,5,5,ma_signal,True,"(5, 20)",True,False
