品种代码,合约类型,年化夏普比率,年化收益率,波动率,最大回撤率,卡玛比率,波动率溢价均线回望窗口,标的涨跌幅布林带计算回望窗口,标的涨跌幅布林带标准倍数,持有天数,标的涨跌幅止盈止损
C,平值期权,0.3407076968009704,0.0094189379738343,0.0276452163020447,0.0605625601409532,0.1555241051882991,30,20,1,inf,False
CU,虚值一档,0.4349402304452912,0.0256837770348058,0.0590512793183348,0.0456068399023054,0.5631562522161836,30,20,1,inf,False
CU,平值期权,0.4178470294621361,0.0268836008139051,0.0643383796422112,0.0572819335268417,0.4693207641342581,30,20,1,inf,False
I,虚值一档,-0.1943787851423531,-0.0273049333883563,0.1404728060645075,0.2917701014203683,-0.0935837265553701,30,20,1,inf,False
I,平值期权,-0.1676871584450072,-0.0195694896385746,0.1167023749465732,0.1853189607160891,-0.1055989606403813,30,20,1,inf,False
L,虚值一档,0.6084959838860747,0.0383811382396962,0.063075417514805,0.0456479594875123,0.8408073147321289,30,20,1,inf,False
L,平值期权,0.4876663832974671,0.0335500134084759,0.0687970599523794,0.0631970151456945,0.5308797153018957,30,20,1,inf,False
M,虚值一档,-0.2688863462770255,-0.0192095024496813,0.0714409739120424,0.097906141755105,-0.1962032422616609,30,20,1,inf,False
M,平值期权,-0.2546403157639113,-0.0182693402186933,0.0717456706094869,0.1028985829910033,-0.1775470534933475,30,20,1,inf,False
P,虚值一档,-0.6631351437463006,-0.1099669218614104,0.1658288252378931,0.2648468942717152,-0.4152094067925588,30,20,1,inf,False
P,平值期权,-0.7542636186425367,-0.0834420765253645,0.1106272057447725,0.2359044510821801,-0.3537113273725236,30,20,1,inf,False
PG,虚值一档,0.7068931898175904,0.091302833243177,0.1291607198348271,0.1482470433179818,0.6158829963801533,30,20,1,inf,False
PG,平值期权,-0.4234654989457324,-0.0625213054426829,0.1476420289216881,0.2076781627991507,-0.3010490106422425,30,20,1,inf,False
PP,虚值一档,-0.7863882075014564,-0.07168356234804,0.0911554390875162,0.1556268463370583,-0.4606118033953282,30,20,1,inf,False
PP,平值期权,-0.5060750464883063,-0.0512681575534594,0.1013054445367601,0.1581670364679008,-0.3241393320526934,30,20,1,inf,False
RB,虚值一档,,0.0,0.0,0.0,,30,20,1,inf,False
RB,平值期权,,0.0,0.0,0.0,,30,20,1,inf,False
RU,虚值一档,-0.3305615304929429,-0.0177707699989724,0.0537593408781479,0.0666548100338452,-0.2666089662538829,30,20,1,inf,False
RU,平值期权,-0.4940712605364004,-0.0277574315158442,0.0561810283919544,0.0877798915359102,-0.3162162886073839,30,20,1,inf,False
SC,虚值一档,-2.314670575339888,-0.2861069117932181,0.123605887957169,0.4335305926486492,-0.6599463028554728,30,20,1,inf,False
SC,平值期权,-1.6712663119270843,-0.2109450589944212,0.1262186986532308,0.3583553261072913,-0.5886477572019242,30,20,1,inf,False
V,虚值一档,0.2537806081467594,0.0264385155393741,0.1041786278803656,0.1251110816994909,0.2113203337405221,30,20,1,inf,False
V,平值期权,0.5493661620114811,0.0634679995368102,0.1155295027717485,0.0875037709640879,0.7253173073290513,30,20,1,inf,False
Y,虚值一档,1.3220372457335094,0.048278701987711,0.0365184128839913,0.0192091371603846,2.5133196553605264,30,20,1,inf,False
Y,平值期权,0.7328565784214296,0.0326143412332013,0.0445030340089905,0.0290412912758235,1.123033439644342,30,20,1,inf,False
ZN,虚值一档,-0.5722137986417136,-0.0462617689203433,0.0808469998978647,0.1740065332299696,-0.2658622527649761,30,20,1,inf,False
ZN,平值期权,-0.8439563374282841,-0.0658694021759417,0.0780483530423622,0.201831997407481,-0.3263575796802783,30,20,1,inf,False
