品种代码,合约类型,年化夏普比率,年化收益率,波动率,最大回撤率,卡玛比率,持有天数
PG,平值期权,-0.2057135579648427,-0.0341312892242433,0.1659165762427603,0.289602963352215,-0.1178554557217457,5
PP,虚值一档,-0.1128630646421755,-0.0116617909652079,0.1033269032892282,0.1652464387024433,-0.0705721167534944,5
PP,平值期权,-0.4468078113873728,-0.0520625601148418,0.1165211502305287,0.2059548671188276,-0.2527862577037514,5
RB,虚值一档,3.6492998467041295,0.213914955089339,0.0586180812964811,0.016065102884027,13.315504832653554,5
RB,平值期权,3.672553895811676,0.2280243956715162,0.0620887813059909,0.0187938070671304,12.132953948980427,5
RU,虚值一档,1.4962699721169757,0.104936359316117,0.0701319690106788,0.0696463091596206,1.5067038093234195,5
RU,平值期权,1.292317688977516,0.1109155433352583,0.0858268398562391,0.0709662074609498,1.5629346318991495,5
SC,虚值一档,0.3471608953082093,0.058361197019902,0.1681099392490304,0.187629225741649,0.3110453437582316,5
SC,平值期权,0.4782672875325417,0.0833040591763183,0.1741788772677669,0.1480000636466463,0.5628650226476173,5
V,虚值一档,-0.1665715680605185,-0.0219535169488775,0.1317963035618508,0.2096025450149414,-0.1047387900147521,5
V,平值期权,-0.074131459297961,-0.0105303524783985,0.1420497124719116,0.2035220526755023,-0.0517405968540828,5
Y,虚值一档,1.0901848296348586,0.0965671450881491,0.0885786909367404,0.0312418412125955,3.090955633217189,5
Y,平值期权,1.2487962834507207,0.1165075285966392,0.0932958642979791,0.0267055838798653,4.362665468043934,5
ZN,虚值一档,0.7592703096565337,0.0654327704930808,0.0861784922456407,0.0750495662648198,0.8718607415024199,5
ZN,平值期权,0.6790281326959118,0.0759235897940156,0.1118121417040263,0.0836182339910743,0.907978872193354,5
