品种代码,合约类型,年化夏普比率,年化收益率,波动率,最大回撤率,卡玛比率,持有天数,分位数计算回望窗口,分位数参数组合
I,虚值一档,-1.0390810133717605,-0.1724471795880955,0.1659612459172109,0.4680573512036724,-0.3684317298822984,5,20,"(0.6, 0.4)"
I,平值期权,-1.133612845617562,-0.1979986161151558,0.1746615847558533,0.5371099837648512,-0.368637005641363,5,20,"(0.6, 0.4)"
L,虚值一档,1.6925637813507686,0.1350766279489554,0.0798059307644856,0.0448395885277845,3.012441290919876,5,20,"(0.6, 0.4)"
L,平值期权,1.762227244707795,0.1711145366077068,0.0971012887932511,0.0484041684322529,3.5351198491758176,5,20,"(0.6, 0.4)"
M,虚值一档,-1.1835669616698836,-0.0866607114707061,0.0732199480698897,0.2101321741354315,-0.4124104831983166,5,20,"(0.6, 0.4)"
M,平值期权,-1.2036947634818125,-0.1024148146361461,0.0850837087135783,0.2529371219821155,-0.4049022691235793,5,20,"(0.6, 0.4)"
P,虚值一档,0.19488359885789,0.0354453470103312,0.1818795794928752,0.1746249811244913,0.2029798187068205,5,20,"(0.6, 0.4)"
P,平值期权,0.2974272453639812,0.0448045702077441,0.1506404369677493,0.0993221171746057,0.4511036562881442,5,20,"(0.6, 0.4)"
PG,虚值一档,-0.4870097466838627,-0.0637887428746051,0.1309804235109342,0.1568177409784567,-0.4067699386344834,5,20,"(0.6, 0.4)"
PG,平值期权,0.1684274342828194,0.0288804784485393,0.171471343558223,0.1395687338426483,0.2069265633741407,5,20,"(0.6, 0.4)"
PP,虚值一档,0.3980200932481271,0.0326872639518439,0.0821246577907478,0.0870815466751278,0.3753638422820999,5,20,"(0.6, 0.4)"
PP,平值期权,0.4193571197621478,0.0400677248275271,0.0955455933364214,0.0952012080347418,0.4208741218168704,5,20,"(0.6, 0.4)"
RB,虚值一档,1.1751354244689869,0.0441039864921235,0.0375309820245211,0.0081023369022998,5.443366157682782,5,20,"(0.6, 0.4)"
RB,平值期权,1.1996115697855525,0.0464094158124896,0.0386870358551026,0.0060001301385167,7.734734870927684,5,20,"(0.6, 0.4)"
RU,虚值一档,0.5837911953414292,0.0451089308608682,0.0772689468783207,0.0488262186717259,0.9238669732782256,5,20,"(0.6, 0.4)"
RU,平值期权,0.6260309582114428,0.0506925565946798,0.0809745203967346,0.0595756016543331,0.8508945807850308,5,20,"(0.6, 0.4)"
SC,虚值一档,1.3494742113962104,0.1928397918371139,0.1428999459260474,0.1262851258155723,1.5270190419633305,5,20,"(0.6, 0.4)"
SC,平值期权,1.4107161520434452,0.229572821715515,0.1627349494673149,0.1301228116709425,1.7642780598383003,5,20,"(0.6, 0.4)"
V,虚值一档,-0.0828097011161223,-0.009413008558323,0.1136703602531225,0.2365944448654854,-0.0397854166173459,5,20,"(0.6, 0.4)"
V,平值期权,-0.2784103206763896,-0.0354894539685562,0.127471761399993,0.2879549017915573,-0.1232465700279904,5,20,"(0.6, 0.4)"
Y,虚值一档,-0.526262123792894,-0.0299009300547797,0.0568175604949046,0.0577731734890869,-0.5175573410456303,5,20,"(0.6, 0.4)"
Y,平值期权,-0.7265391336295969,-0.046069870953988,0.0634100337084875,0.0625102585289283,-0.7369969671884808,5,20,"(0.6, 0.4)"
ZN,虚值一档,-0.0070716123699887,-0.0005817823817903,0.0822701176692614,0.078151536903788,-0.0074442858687041,5,20,"(0.6, 0.4)"
